,Price,Town,Zip,Beds,Baths,Days_Listed,Sqft,Age,Lot_Size
314,615000.0,Sea Cliff,11579,4.0,2.0,160.0,,1959.0,
315,215000.0,Uniondale,11553,3.0,2.0,8.0,,1943.0,0.12
316,1499000.0,Manhasset,11030,4.0,2.5,120.0,2750.0,1938.0,
317,1180000.0,Great Neck,11020,3.0,2.0,5.0,,1949.0,
318,519000.0,Long Beach,11561,4.0,2.0,81.0,,1994.0,0.01
319,514900.0,Lynbrook,11563,4.0,3.5,150.0,,1931.0,
320,725000.0,Massapequa,11758,5.0,3.5,91.0,,1965.0,0.25
321,369000.0,Oceanside,11572,3.0,2.0,126.0,1470.0,1940.0,0.12
322,229000.0,Long Beach,11561,2.0,1.0,15.0,,1967.0,
323,359000.0,Baldwin,11510,3.0,2.0,50.0,,1926.0,
324,898000.0,Roslyn,11576,4.0,2.5,143.0,,1978.0,
325,599900.0,Glen Head,11545,3.0,3.5,19.0,,1977.0,
326,1975000.0,Oyster Bay,11771,7.0,5.5,111.0,6600.0,1995.0,2.0
327,4188000.0,Great Neck,11023,5.0,7.5,120.0,7383.0,1996.0,0.58
328,1999999.0,Great Neck,11020,6.0,5.5,38.0,,1927.0,
329,529000.0,Massapequa Park,11762,4.0,2.0,18.0,2461.0,1949.0,
330,529000.0,Seaford,11783,5.0,2.0,49.0,,1975.0,
331,469990.0,Farmingdale,11735,3.0,1.5,60.0,,1956.0,0.16
332,529000.0,Massapequa,11758,3.0,2.5,119.0,,2006.0,0.09
333,374950.0,Massapequa,11758,4.0,2.0,99.0,,1949.0,
334,364000.0,Wantagh,11793,3.0,1.0,87.0,,1951.0,
335,549000.0,Seaford,11783,5.0,2.0,70.0,,1964.0,
336,459000.0,Roosevelt,11575,7.0,3.5,49.0,,1953.0,0.13
337,389000.0,Seaford,11783,3.0,1.5,162.0,,1963.0,
338,329000.0,Oceanside,11572,2.0,1.5,82.0,,1987.0,
339,299000.0,Westbury,11590,4.0,2.0,119.0,,1959.0,0.11
